App;Tool;Method;Third_Parties;Loc_Addr;Serv_Addr;URL;Error
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41424;18.154.22.49:443;https://sb.scorecardresearch.c...;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41130;44.199.96.191:443;https://api.apptentive.com/con...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41202;151.101.65.44:443;https://cdn.taboola.com/shared...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41202;151.101.65.44:443;https://cdn.taboola.com/shared...;-
Mozilla/5.0 (Linux- Android 4.0.4- Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19;MITMPROXY;Request;N/A;192.168.0.113:41420;54.84.185.253:443;https://and-obs.pulse.weatherb...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41266;18.154.54.56:443;-;-
Mozilla/5.0 (Linux- Android 9- Redmi 8 Build/PKQ1.190319.001- wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/95.0.4638.74 Mobile Safari/537.36;MITMPROXY;Request;N/A;192.168.0.113:41160;52.21.237.60:443;https://weatherbug.adsbynimbus...;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41188;172.64.174.6:443;https://api-eu.bidmachine.io/t...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41202;151.101.65.44:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41202;151.101.65.44:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41424;18.154.22.49:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41160;52.21.237.60:443;-;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41426;142.250.185.14:443;https://clients4.google.com/gl...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41324;151.101.129.44:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41188;172.64.174.6:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41420;54.84.185.253:443;-;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41266;18.154.54.56:443;https://aax.amazon-adsystem.co...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41270;151.101.129.44:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41160;52.21.237.60:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41424;18.154.22.49:443;https://sb.scorecardresearch.c...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41130;44.199.96.191:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41202;151.101.65.44:443;https://cdn.taboola.com/shared...;-
Mozilla/5.0 (Linux- Android 9- Redmi 8 Build/PKQ1.190319.001- wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/95.0.4638.74 Mobile Safari/537.36;MITMPROXY;Request;N/A;192.168.0.113:41160;52.21.237.60:443;https://weatherbug.adsbynimbus...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41424;18.154.22.49:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41266;18.154.54.56:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41202;151.101.65.44:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41356;185.106.33.48:443;https://il-trc-events.taboola....;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41366;151.101.193.44:443;https://images.taboola.com/tab...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41366;151.101.193.44:443;https://images.taboola.com/tab...;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41428;172.64.174.6:443;https://api-eu.bidmachine.io/a...;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41266;18.154.54.56:443;https://aax.amazon-adsystem.co...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41356;185.106.33.48:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41160;52.21.237.60:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41426;142.250.185.14:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41366;151.101.193.44:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41366;151.101.193.44:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41266;18.154.54.56:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41202;151.101.65.44:443;https://cdn.taboola.com/shared...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41202;151.101.65.44:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41270;151.101.129.44:443;https://trc.taboola.com/weathe...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41424;18.154.22.49:443;https://sb.scorecardresearch.c...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41428;172.64.174.6:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41356;185.106.33.48:443;https://il-trc-events.taboola....;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41424;18.154.22.49:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41424;18.154.22.49:443;https://sb.scorecardresearch.c...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41356;185.106.33.48:443;-;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41428;172.64.174.6:443;https://api-eu.bidmachine.io/t...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41424;18.154.22.49:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41428;172.64.174.6:443;-;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41188;172.64.174.6:443;https://api-eu.bidmachine.io/a...;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41130;44.199.96.191:443;https://api.apptentive.com/con...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41270;151.101.129.44:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41188;172.64.174.6:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41130;44.199.96.191:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41202;151.101.65.44:443;https://cdn.taboola.com/shared...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41202;151.101.65.44:443;https://cdn.taboola.com/shared...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41202;151.101.65.44:443;-;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41266;18.154.54.56:443;https://aax.amazon-adsystem.co...;-
Mozilla/5.0 (Linux- Android 9- Redmi 8 Build/PKQ1.190319.001- wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/95.0.4638.74 Mobile Safari/537.36;MITMPROXY;Request;N/A;192.168.0.113:41160;52.21.237.60:443;https://weatherbug.adsbynimbus...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41266;18.154.54.56:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41202;151.101.65.44:443;https://cdn.taboola.com/shared...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41202;151.101.65.44:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41202;151.101.65.44:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41160;52.21.237.60:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41424;18.154.22.49:443;https://sb.scorecardresearch.c...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41270;151.101.129.44:443;https://trc.taboola.com/weathe...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41432;141.226.228.48:443;https://trc-events.taboola.com...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41270;151.101.129.44:443;https://trc.taboola.com/weathe...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41424;18.154.22.49:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41432;141.226.228.48:443;https://trc-events.taboola.com...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41372;141.226.228.48:443;https://am-vid-events.taboola....;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41368;151.101.65.44:443;https://imprammp.taboola.com/s...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41424;18.154.22.49:443;https://sb.scorecardresearch.c...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41432;141.226.228.48:443;-;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41266;18.154.54.56:443;https://aax.amazon-adsystem.co...;-
Mozilla/5.0 (Linux- Android 9- Redmi 8 Build/PKQ1.190319.001- wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/95.0.4638.74 Mobile Safari/537.36;MITMPROXY;Request;N/A;192.168.0.113:41160;52.21.237.60:443;https://weatherbug.adsbynimbus...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41270;151.101.129.44:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41368;151.101.65.44:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41424;18.154.22.49:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41432;141.226.228.48:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41266;18.154.54.56:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41372;141.226.228.48:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41202;151.101.65.44:443;https://cdn.taboola.com/shared...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41202;151.101.65.44:443;-;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41188;172.64.174.6:443;https://api-eu.bidmachine.io/a...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41270;151.101.129.44:443;https://trc.taboola.com/weathe...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41424;18.154.22.49:443;https://sb.scorecardresearch.c...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41160;52.21.237.60:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41432;141.226.228.48:443;https://trc-events.taboola.com...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41270;151.101.129.44:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41424;18.154.22.49:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41432;141.226.228.48:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41188;172.64.174.6:443;-;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41150;54.83.242.74:443;https://and-ads.pulse.weatherb...;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41164;54.83.242.74:443;https://and-ads.pulse.weatherb...;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41188;172.64.174.6:443;https://api-eu.bidmachine.io/t...;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41438;216.239.32.3:443;https://csi.gstatic.com/csi?s=...;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41266;18.154.54.56:443;https://aax.amazon-adsystem.co...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41438;216.239.32.3:443;-;-
Mozilla/5.0 (Linux- Android 9- Redmi 8 Build/PKQ1.190319.001- wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/95.0.4638.74 Mobile Safari/537.36;MITMPROXY;Request;N/A;192.168.0.113:41160;52.21.237.60:443;https://weatherbug.adsbynimbus...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41188;172.64.174.6:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41270;151.101.129.44:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41266;18.154.54.56:443;-;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41428;172.64.174.6:443;https://api-eu.bidmachine.io/a...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41372;141.226.228.48:443;https://am-vid-events.taboola....;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41372;141.226.228.48:443;-;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41194;23.20.227.220:443;https://and-em.pulse.weatherbu...;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41196;54.84.185.253:443;https://and-obs.pulse.weatherb...;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41262;23.20.178.58:443;https://and-lx.pulse.weatherbu...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41160;52.21.237.60:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41428;172.64.174.6:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41194;23.20.227.220:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41150;54.83.242.74:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41164;54.83.242.74:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41262;23.20.178.58:443;-;-
Mozilla/5.0 (Linux- Android 9- Redmi 8 Build/PKQ1.190319.001- wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/95.0.4638.74 Mobile Safari/537.36;MITMPROXY;Request;N/A;192.168.0.113:41160;52.21.237.60:443;https://weatherbug.adsbynimbus...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41356;185.106.33.48:443;https://il-trc-events.taboola....;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41424;18.154.22.49:443;https://sb.scorecardresearch.c...;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41266;18.154.54.56:443;https://aax.amazon-adsystem.co...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41424;18.154.22.49:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41356;185.106.33.48:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41266;18.154.54.56:443;-;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41188;172.64.174.6:443;https://api-eu.bidmachine.io/a...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41440;151.101.65.44:443;https://15.taboola.com/tb?oid=...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41424;18.154.22.49:443;https://sb.scorecardresearch.c...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41270;151.101.129.44:443;https://trc.taboola.com/weathe...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41160;52.21.237.60:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41424;18.154.22.49:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41196;54.84.185.253:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41440;151.101.65.44:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41440;151.101.65.44:443;https://15.taboola.com/tb?oid=...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41356;185.106.33.48:443;https://il-trc-events.taboola....;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41440;151.101.65.44:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41356;185.106.33.48:443;https://il-trc-events.taboola....;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41432;141.226.228.48:443;https://trc-events.taboola.com...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41202;151.101.65.44:443;https://cdn.taboola.com/shared...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41188;172.64.174.6:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41356;185.106.33.48:443;https://il-trc-events.taboola....;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41356;185.106.33.48:443;https://il-trc-events.taboola....;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41356;185.106.33.48:443;https://il-trc-events.taboola....;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41444;34.194.3.114:443;https://and-con.pulse.weatherb...;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41442;54.84.185.253:443;https://and-obs.pulse.weatherb...;-
N/A;MITMPROXY;Error;N/A;192.168.0.113:41270;;;stream reset by client (CANCEL)
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41270;151.101.129.44:443;https://trc.taboola.com/weathe...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41432;141.226.228.48:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41356;185.106.33.48:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41356;185.106.33.48:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41356;185.106.33.48:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41310;151.101.65.44:443;https://pips.taboola.com/;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41356;185.106.33.48:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41356;185.106.33.48:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41442;54.84.185.253:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41202;151.101.65.44:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41444;34.194.3.114:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41310;151.101.65.44:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41368;151.101.65.44:443;https://imprammp.taboola.com/s...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41372;141.226.228.48:443;https://am-vid-events.taboola....;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41448;23.20.227.220:443;https://and-alm.pulse.weatherb...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41270;151.101.129.44:443;-;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41450;23.20.227.220:443;https://and-hur.pulse.weatherb...;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41446;54.83.242.74:443;https://and-fire.pulse.weather...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41368;151.101.65.44:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41372;141.226.228.48:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41448;23.20.227.220:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41450;23.20.227.220:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41446;54.83.242.74:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41202;151.101.65.44:443;https://cdn.taboola.com/shared...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41202;151.101.65.44:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41372;141.226.228.48:443;https://am-vid-events.taboola....;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41372;141.226.228.48:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41270;151.101.129.44:443;https://trc.taboola.com/weathe...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41390;141.226.228.48:443;https://am-wf.taboola.com/Vide...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41356;185.106.33.48:443;https://il-trc-events.taboola....;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41356;185.106.33.48:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41270;151.101.129.44:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41310;151.101.65.44:443;https://pips.taboola.com/;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41390;141.226.228.48:443;-;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41384;146.112.61.110:443;https://match.adsrvr.org/track...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41386;108.128.131.233:443;https://pr-bh.ybp.yahoo.com/sy...;-
com.aws.android;MITMPROXY;Request;N/A;192.168.0.113:41270;151.101.129.44:443;https://trc.taboola.com/weathe...;-
N/A;MITMPROXY;Error;N/A;192.168.0.113:41384;;;Certificate verify failed: unable to get local issuer certificate
N/A;MITMPROXY;Response;N/A;192.168.0.113:41310;151.101.65.44:443;-;-
